"period","price"
2020-07-14,1813.4
2020-07-13,1814.1
2020-07-10,1801.9
2020-07-09,1803.8
2020-07-08,1820.6
2020-07-07,1809.9
2020-07-06,1793.5
2020-07-02,1790
2020-07-01,1779.9
2020-06-30,1800.5
2020-06-29,1781.2
2020-06-26,1780.3
2020-06-25,1770.6
2020-06-24,1775.1
2020-06-23,1782
2020-06-22,1766.4
2020-06-19,1753
2020-06-18,1731.1
2020-06-17,1735.6
2020-06-16,1736.5
2020-06-15,1727.2
2020-06-12,1737.3
2020-06-11,1739.8
2020-06-10,1720.7
2020-06-09,1721.9
2020-06-08,1705.1
2020-06-05,1683
2020-06-04,1727.4
2020-06-03,1704.8
2020-06-02,1734
2020-06-01,1750.3
2020-05-29,1736.9
2020-05-28,1728.3
2020-05-27,1726.8
2020-05-26,1728.2
2020-05-22,1734.6
2020-05-21,1721.9
2020-05-20,1750.6
2020-05-19,1745.6
2020-05-18,1734.4
2020-05-15,1753.4
2020-05-14,1740.9
2020-05-13,1716.4
2020-05-12,1706.8
2020-05-11,1698
2020-05-08,1709.9
2020-05-07,1725.8
2020-05-06,1688.5
2020-05-05,1710.6
2020-05-04,1713.3
2020-05-01,1694.5
2020-04-30,1694.2
2020-04-29,1703.4
2020-04-28,1722.2
2020-04-27,1723.8
2020-04-24,1723.5
2020-04-23,1745.4
2020-04-22,1738.3
2020-04-21,1687.8
2020-04-20,1711.2
2020-04-17,1689.2
2020-04-16,1731.7
2020-04-15,1740.2
2020-04-14,1768.9
2020-04-13,1744.8
2020-04-09,1736.2
2020-04-08,1684.3
2020-04-07,1683.7
2020-04-06,1677
2020-04-03,1633.7
2020-04-02,1637.7
2020-04-01,1591.4
2020-03-31,1583.4
2020-03-30,1643.2
2020-03-27,1623.9
2020-03-26,1660.3
2020-03-25,1634.3
2020-03-24,1660.2
2020-03-23,1572.7
2020-03-20,1484
2020-03-19,1479.3
2020-03-18,1477.9
2020-03-17,1524.9
2020-03-16,1486.5
2020-03-13,1516.7
2020-03-12,1590.3
2020-03-11,1642.3
2020-03-10,1659.1
2020-03-09,1675.7
2020-03-06,1672.4
2020-03-05,1666.4
2020-03-04,1643
2020-03-03,1642.1
2020-03-02,1592.3
2020-02-28,1564.1
2020-02-27,1642.5
2020-02-26,1643.1
2020-02-25,1650
2020-02-24,1676.6
2020-02-21,1644.6
2020-02-20,1620.5
2020-02-19,1611.8
2020-02-18,1600
2020-02-14,1582.7
2020-02-13,1578.8
2020-02-12,1571.6
2020-02-11,1565.6
2020-02-10,1579.5
2020-02-07,1568.6
2020-02-06,1570
2020-02-05,1562.8
2020-02-04,1555.5
2020-02-03,1582.4
2020-01-31,1582.9
2020-01-30,1589.2
2020-01-29,1576
2020-01-28,1575.8
2020-01-27,1583.7
2020-01-24,1571.1
2020-01-23,1571.6
2020-01-22,1556.7
2020-01-21,1556.4
2020-01-17,1558.8
2020-01-16,1550.5
2020-01-15,1554
2020-01-14,1544.6
2020-01-13,1550.6
2020-01-10,1557.5
2020-01-09,1554.3
2020-01-08,1560.2
2020-01-07,1574.3
2020-01-06,1568.8
2020-01-03,1549.2
2020-01-02,1528.1
